,x,y
115,-3.2467777729034424,-0.3494149446487427
116,-2.960099458694458,-0.6967176198959351
117,-2.9765079021453857,-0.6017994284629822
118,-4.326629638671875,-1.225572109222412
119,-4.900622367858887,-1.073744773864746
120,-4.551354885101318,-1.893619418144226
121,-4.813214302062988,-1.8332737684249878
122,-4.854389190673828,-0.7869296073913574
123,-4.839248180389404,-0.7559853792190552
124,-4.849063873291016,-0.7551213502883911
125,-3.633030414581299,-2.133601188659668
126,-4.160760879516602,-2.1559340953826904
127,-4.885207176208496,-1.1933939456939697
128,-4.045402526855469,-1.626106858253479
129,-4.892796039581299,-1.3462377786636353
130,-4.176450729370117,-1.591376781463623
131,-4.853219985961914,-0.7788132429122925
132,-4.634078025817871,-0.4070420563220978
133,-3.666059732437134,-2.150895595550537
134,-4.59341287612915,-1.8577967882156372
135,-4.167609691619873,-2.154618263244629
136,-4.889280319213867,-1.2759337425231934
137,-4.678471565246582,-1.791977882385254
138,-4.871918201446533,-1.4037683010101318
139,-4.154789447784424,-2.149052858352661
140,-4.886785984039307,-0.8957967162132263
141,-4.217431545257568,-2.1210434436798096
142,-4.885429859161377,-1.3799124956130981
143,-4.68195104598999,-1.7921682596206665
144,-4.560896396636963,-0.42924460768699646
145,-3.7324514389038086,-2.164025068283081
146,-4.139784812927246,-2.1362757682800293
147,-4.052966117858887,-1.647447943687439
148,-4.621890068054199,-1.7450121641159058
149,-3.784797430038452,1.3038082122802734
150,-3.9960532188415527,-3.5461132526397705
151,-4.587961196899414,-3.4233932495117188
152,-4.918610095977783,1.1002601385116577
153,-5.363430500030518,0.790804386138916
154,-3.784797430038452,1.3038082122802734
155,-5.142243385314941,-3.1402299404144287
156,-1.6312553882598877,-0.273936003446579
157,-4.2812066078186035,-1.1765278577804565
158,-6.320889949798584,-1.3431373834609985
159,-3.784797430038452,1.3038082122802734
160,-2.700113296508789,0.9988355040550232
161,-1.9011974334716797,0.23347024619579315
162,-3.473517417907715,-2.0820930004119873
163,-4.279727458953857,-1.2650095224380493
164,-4.139945030212402,-0.9197558164596558
165,-3.213479995727539,-1.84834885597229
166,-3.11440110206604,-1.757642388343811
167,-4.480830669403076,-0.33527734875679016
168,-10.457427978515625,-7.492562294006348
169,-14.872477531433105,-11.8072509765625
170,-14.849592208862305,-11.785545349121094
171,-14.981887817382812,-11.917489051818848
172,-14.997394561767578,-11.930525779724121
173,-11.341047286987305,-8.355608940124512
174,-13.786599159240723,-10.744283676147461
175,-13.891767501831055,-10.848126411437988
176,-13.408780097961426,-10.379335403442383
177,-10.920364379882812,-7.946847438812256
178,-10.722442626953125,-7.752147197723389
179,-7.78783655166626,-4.886111259460449
180,-2.282296895980835,0.6647620797157288
181,-1.4472171068191528,-0.855141818523407
182,-2.8410656452178955,-3.316988468170166
183,-2.343358039855957,-2.9866957664489746
184,-1.632391095161438,-2.0429623126983643
185,-6.097556114196777,-0.07211095839738846
186,-1.9373047351837158,-2.579874277114868
187,-6.129796504974365,-1.947117567062378
188,-5.7661333084106445,0.42498454451560974
189,-5.757030010223389,-2.555271625518799
190,-3.3734188079833984,-3.510798931121826
191,-3.1604573726654053,-0.4434199333190918
192,-10.863513946533203,-7.88568639755249
193,-14.807554244995117,-11.743379592895508
194,-13.843106269836426,-10.795802116394043
195,-11.86215877532959,-8.87180233001709
196,-13.13050365447998,-10.115509986877441
197,-13.283945083618164,-10.259686470031738
198,-11.964712142944336,-8.965452194213867
199,-13.759323120117188,-10.717928886413574
200,-12.365763664245605,-9.354874610900879
201,-9.52712345123291,-6.585723400115967
202,-7.613307476043701,-4.718572616577148
203,-7.593687057495117,-4.7045135498046875
